County,Bachelors_Degree,,,,,
ALAMANCE,24.8,,,,,
ALEXANDER,14.2,,,,,
ALLEGHANY,17.3,,,,,
ANSON,11.3,,,,,
ASHE,19.7,,,,,
AVERY,20.7,,,,,
BEAUFORT,20.6,,,,,
BERTIE,13.6,,,,,
BLADEN,15.8,,,,,
BRUNSWICK,29.9,,,,,
BUNCOMBE,40.1,,,,,
BURKE,16.4,,,,,
CABARRUS,32.3,,,,,
CALDWELL,15.7,,,,,
CAMDEN,17.1,,,,,
CARTERET,29.1,,,,,
CASWELL,15.9,,,,,
CATAWBA,22.6,,,,,
CHATHAM,42.4,,,,,
CHEROKEE,19,,,,,
CHOWAN,21.7,,,,,
CLAY,23.7,,,,,
CLEVELAND,17.6,,,,,
COLUMBUS,13.8,,,,,
CRAVEN,25.3,,,,,
CUMBERLAND,25.5,,,,,
CURRITUCK,23.5,,,,,
DARE,34.7,,,,,
DAVIDSON,18.5,,,,,
DAVIE,24,,,,,
DUPLIN,12.1,,,,,
DURHAM,48.2,,,,,
EDGECOMBE,13.6,,,,,
FORSYTH,34,,,,,
FRANKLIN,22,,,,,
GASTON,21.2,,,,,
GATES,14.3,,,,,
GRAHAM,12.9,,,,,
GRANVILLE,22.5,,,,,
GREENE,11,,,,,
GUILFORD,36,,,,,
HALIFAX,14.4,,,,,
HARNETT,21.9,,,,,
HAYWOOD,26,,,,,
HENDERSON,31.8,,,,,
HERTFORD,14.9,,,,,
HOKE,17.7,,,,,
HYDE,9.2,,,,,
IREDELL,28.4,,,,,
JACKSON,30.4,,,,,
JOHNSTON,22.9,,,,,
JONES,12.2,,,,,
LEE,21.5,,,,,
LENOIR,14.9,,,,,
LINCOLN,23,,,,,
MACON,23.8,,,,,
MADISON,28.5,,,,,
MARTIN,16.4,,,,,
MCDOWELL,17.4,,,,,
MECKLENBURG,45.4,,,,,
MITCHELL,20.5,,,,,
MONTGOMERY,15.7,,,,,
MOORE,37.4,,,,,
NASH,20.8,,,,,
NEW HANOVER,40.6,,,,,
NORTHAMPTON,13.8,,,,,
ONSLOW,22.9,,,,,
ORANGE,59.7,,,,,
PAMLICO,18.5,,,,,
PASQUOTANK,22.1,,,,,
PENDER,27.9,,,,,
PERQUIMANS,20.2,,,,,
PERSON,15.6,,,,,
PITT,32.7,,,,,
POLK,29.1,,,,,
RANDOLPH,15.7,,,,,
RICHMOND,15.7,,,,,
ROBESON,13.7,,,,,
ROCKINGHAM,15.1,,,,,
ROWAN,18.5,,,,,
RUTHERFORD,17.8,,,,,
SAMPSON,13.7,,,,,
SCOTLAND,15.5,,,,,
STANLY,17.3,,,,,
STOKES,14.1,,,,,
SURRY,18,,,,,
SWAIN,18.2,,,,,
TRANSYLVANIA,32.6,,,,,
TYRRELL,10.6,,,,,
UNION,35.4,,,,,
VANCE,14.8,,,,,
WAKE,52.8,,,,,
WARREN,15.8,,,,,
WASHINGTON,11.5,,,,,
WATAUGA,42.2,,,,,
WAYNE,19,,,,,
WILKES,15.8,,,,,
WILSON,19.6,,,,,
YADKIN,11.6,,,,,
YANCEY,20.3,,,,,